seed,mu,E,client,measured_delta,grad_norm_at_w0,exact_solve_iters
0,0.01,1,0,2.116746703244078,6.159385642685968,3000
0,0.01,1,1,3.3536924116191913,3.1789750284436193,3000
0,0.01,1,2,1.3714963181201951,2.0367976708378954,3000
0,0.01,1,3,2.363788050128067,2.70339122003791,3000
0,0.01,1,4,2.8245585143933667,1.8863118917032797,3000
0,0.01,1,5,0.4679160229601523,3.7242765707844425,3000
0,0.01,1,6,1.434090258141099,5.110804209579576,3000
0,0.01,1,7,4.854255760336669,1.0714384012209426,3000
0,0.01,1,8,0.16397681905837583,3.1958123443426714,3000
0,0.01,1,9,0.8229161912327724,4.2139813295610296,3000
0,0.01,1,10,3.233475729962265,3.439528000400227,3000
0,0.01,1,11,3.3213333619821293,1.8127084768747979,3000
0,0.01,1,12,0.4215856165589766,3.6932133803977036,3000
0,0.01,1,13,0.24080818755438532,2.938452666868414,3000
0,0.01,1,14,0.37457796604215154,2.9427433115271953,3000
0,0.01,1,15,3.958623028818567,3.037461162199718,3000
0,0.01,1,16,3.638577050697041,2.369561562452599,3000
0,0.01,1,17,3.1735957952483074,2.1950998244769973,3000
0,0.01,1,18,1.4596890978123203,5.149973210214156,3000
0,0.01,1,19,0.91739579211501,2.351274470087229,3000
0,0.01,2,0,2.1013516478868675,6.159385642685968,3000
0,0.01,2,1,3.2440719910888585,3.1789750284436193,3000
0,0.01,2,2,1.1725383313010662,2.0367976708378954,3000
0,0.01,2,3,2.248531523103578,2.70339122003791,3000
0,0.01,2,4,2.6276797012864845,1.8863118917032797,3000
0,0.01,2,5,0.459945642803592,3.7242765707844425,3000
0,0.01,2,6,1.4213353660706585,5.110804209579576,3000
0,0.01,2,7,4.655431985040576,1.0714384012209426,3000
0,0.01,2,8,0.16272709476664393,3.1958123443426714,3000
0,0.01,2,9,0.8124668929103938,4.2139813295610296,3000
0,0.01,2,10,2.9527151264026097,3.439528000400227,3000
0,0.01,2,11,3.1928077143622917,1.8127084768747979,3000
0,0.01,2,12,0.41401933987606276,3.6932133803977036,3000
0,0.01,2,13,0.2292947501160622,2.938452666868414,3000
0,0.01,2,14,0.36066818437914805,2.9427433115271953,3000
0,0.01,2,15,3.816144138451959,3.037461162199718,3000
0,0.01,2,16,3.525938514103232,2.369561562452599,3000
0,0.01,2,17,3.0421124976505958,2.1950998244769973,3000
0,0.01,2,18,1.4468209790542716,5.149973210214156,3000
0,0.01,2,19,0.806290445501493,2.351274470087229,3000
0,0.01,5,0,2.0556270971772066,6.159385642685968,3000
0,0.01,5,1,3.0429877099491476,3.1789750284436193,3000
0,0.01,5,2,0.8743998537834595,2.0367976708378954,3000
0,0.01,5,3,1.9797122298446563,2.70339122003791,3000
0,0.01,5,4,2.2029729508159104,1.8863118917032797,3000
0,0.01,5,5,0.43656080703193434,3.7242765707844425,3000
0,0.01,5,6,1.3834547657866674,5.110804209579576,3000
0,0.01,5,7,4.1535795211097355,1.0714384012209426,3000
0,0.01,5,8,0.15914260918231612,3.1958123443426714,3000
0,0.01,5,9,0.7814594779117834,4.2139813295610296,3000
0,0.01,5,10,2.536860423402994,3.439528000400227,3000
0,0.01,5,11,2.8993493914048925,1.8127084768747979,3000
0,0.01,5,12,0.39188466628928564,3.6932133803977036,3000
0,0.01,5,13,0.2000384591906604,2.938452666868414,3000
0,0.01,5,14,0.3258536761283745,2.9427433115271953,3000
0,0.01,5,15,3.474372357945656,3.037461162199718,3000
0,0.01,5,16,3.0650736373441836,2.369561562452599,3000
0,0.01,5,17,2.598079594194695,2.1950998244769973,3000
0,0.01,5,18,1.4086023622626274,5.149973210214156,3000
0,0.01,5,19,0.6124220684620593,2.351274470087229,3000
0,0.01,10,0,1.9809320566157504,6.159385642685968,3000
0,0.01,10,1,2.756999070526602,3.1789750284436193,3000
0,0.01,10,2,0.6353150255829245,2.0367976708378954,3000
0,0.01,10,3,1.6355613111487846,2.70339122003791,3000
0,0.01,10,4,1.7865380118501233,1.8863118917032797,3000
0,0.01,10,5,0.39939117115326034,3.7242765707844425,3000
0,0.01,10,6,1.3215823304188763,5.110804209579576,3000
