d,N,seed,eps_p,conversion,sigma,T_priv,T_needed,T_acc_calibrated,capped_at_Tmax,round_used,measured_gap_cumavg,V_ind_theory,gap_over_theory_ratio,theorem2_predicted_feasible,empirically_feasible,degenerate_zero_rounds,frac_updates_clipped
10,200,0,2.0,basic,1.5652475842498528,0.3922223391987426,0.7844446783974852,0.018021596001236217,False,1,0.39559543565668,0.25,1.58238174262672,True,,True,0.835
10,200,0,2.0,pathA,1.5652475842498528,0.0,0.0,0.018021596001236217,False,0,0.2934231142921458,0.25,1.1736924571685832,False,,True,0.835
10,200,0,4.0,basic,1.5652475842498528,1.4584947588528776,2.916989517705755,0.018021596001236217,False,3,0.3680456280888896,0.25,1.4721825123555583,True,True,False,0.835
10,200,0,4.0,pathA,1.5652475842498528,1.8284047143129953,3.6568094286259907,0.018021596001236217,False,4,0.3699380606798738,0.25,1.4797522427194951,True,True,False,0.835
10,200,0,8.0,basic,1.5652475842498528,5.140767385994252,10.281534771988504,0.018021596001236217,False,10,0.30658477430282766,0.25,1.2263390972113106,True,True,False,0.835
10,200,0,8.0,pathA,1.5652475842498528,6.025589138988892,12.051178277977783,0.018021596001236217,False,12,0.3290598046609664,0.25,1.3162392186438656,True,True,False,0.835
10,200,0,16.0,basic,1.5652475842498528,16.810273682494383,33.62054736498877,0.018021596001236217,False,34,0.4231102323600033,0.25,1.6924409294400131,True,True,False,0.835
10,200,0,16.0,pathA,1.5652475842498528,18.652030060993525,37.30406012198705,0.018021596001236217,False,37,0.441152679874574,0.25,1.764610719498296,True,True,False,0.835
10,200,1,2.0,basic,1.5652475842498528,0.3922223391987426,0.7844446783974852,0.018021596001236217,False,1,0.3249770319343003,0.25,1.299908127737201,True,,True,0.785
10,200,1,2.0,pathA,1.5652475842498528,0.0,0.0,0.018021596001236217,False,0,0.048407655028638474,0.25,0.1936306201145539,False,,True,0.785
10,200,1,4.0,basic,1.5652475842498528,1.4584947588528776,2.916989517705755,0.018021596001236217,False,3,0.3957428586518194,0.25,1.5829714346072776,True,True,False,0.785
10,200,1,4.0,pathA,1.5652475842498528,1.8284047143129953,3.6568094286259907,0.018021596001236217,False,4,0.39159867234958395,0.25,1.5663946893983358,True,True,False,0.785
10,200,1,8.0,basic,1.5652475842498528,5.140767385994252,10.281534771988504,0.018021596001236217,False,10,0.32146082773888085,0.25,1.2858433109555234,True,True,False,0.785
10,200,1,8.0,pathA,1.5652475842498528,6.025589138988892,12.051178277977783,0.018021596001236217,False,12,0.3403015871888015,0.25,1.361206348755206,True,True,False,0.785
10,200,1,16.0,basic,1.5652475842498528,16.810273682494383,33.62054736498877,0.018021596001236217,False,34,0.5358029385349959,0.25,2.1432117541399838,True,False,False,0.785
10,200,1,16.0,pathA,1.5652475842498528,18.652030060993525,37.30406012198705,0.018021596001236217,False,37,0.5155945844008668,0.25,2.0623783376034672,True,False,False,0.785
10,500,0,2.0,basic,2.4899799195977463,0.9925626542988586,1.9851253085977172,0.018021596001236217,False,2,0.29882498896560433,0.24999999999999997,1.1952999558624176,True,True,False,0.844
10,500,0,2.0,pathA,2.4899799195977463,1.3423778559731687,2.6847557119463374,0.018021596001236217,False,3,0.3793855876565453,0.24999999999999997,1.5175423506261814,True,True,False,0.844
10,500,0,4.0,basic,2.4899799195977463,3.6908846958725876,7.381769391745175,0.018021596001236217,False,7,0.6254626745627236,0.24999999999999997,2.501850698250895,True,False,False,0.844
10,500,0,4.0,pathA,2.4899799195977463,4.62698525361418,9.25397050722836,0.018021596001236217,False,9,0.5789998391785954,0.24999999999999997,2.315999356714382,True,False,False,0.844
10,500,0,8.0,basic,2.4899799195977463,13.009288895169126,26.018577790338252,0.018021596001236217,False,26,0.5392727856276197,0.24999999999999997,2.1570911425104793,True,False,False,0.844
10,500,0,8.0,pathA,2.4899799195977463,15.248439441268374,30.49687888253675,0.018021596001236217,False,30,0.5186000620998379,0.24999999999999997,2.074400248399352,True,False,False,0.844
10,500,0,16.0,basic,2.4899799195977463,42.54028442100619,85.08056884201238,0.018021596001236217,False,85,0.47277421679409176,0.24999999999999997,1.8910968671763673,True,True,False,0.844
