d,eps_acc,eps_p,LD,N_star_basic,N_star_pathA,tightening_ratio
10,1.0,1,50,96063.76384439786,65543.07724510554,1.4656584323185935
10,1.0,2,1,501.7165648526611,522.8024942014742,0.9596675043009891
10,1.0,2,10,4999.165648497406,3715.3207287422383,1.345554263949049
10,1.0,2,50,24987.82824233196,18501.72097302411,1.3505677811682888
10,1.0,4,1,136.38512467293492,153.09565403236792,0.8908490938880603
10,1.0,4,10,1345.851246710255,1079.3117072151847,1.2469532552211349
10,1.0,4,50,6721.256233638499,5369.154479730824,1.251827687024468
10,1.0,8,1,40.12660353667087,47.8481218246969,0.8386244225778461
10,1.0,8,10,383.26603536756005,328.8970157425138,1.1653071235757595
10,1.0,8,50,1908.330176867227,1630.5971560188116,1.170325956857741
10,1.0,16,1,13.659536525484643,16.813656881538027,0.8124072366721891
10,1.0,16,10,118.59536525315572,107.62134355857508,1.1019688226490856
10,1.0,16,50,584.9768262663305,528.2043134304017,1.1074821075716363
50,0.1,1,1,960637.6384319081,657800.3013283939,1.460378836087411
50,0.1,1,10,9606196.384354593,6551165.813425987,1.4663338797909242
50,0.1,1,50,48030901.9224032,32743901.4233675,1.4668655790701293
50,0.1,2,1,249878.28242541282,185686.03643853578,1.3457031407319926
50,0.1,2,10,2498602.824265128,1849156.0639407313,1.3512125195860227
50,0.1,2,50,12492934.121334303,9242356.186165646,1.3517044647158547
50,0.1,4,1,67212.56233554042,53885.58536060305,1.2473198887189045
50,0.1,4,10,671945.6233553445,536492.8972749624,1.25247813488006
50,0.1,4,50,3359648.116781534,2681414.2835739274,1.2529388455049257
50,0.1,8,1,19083.301768432477,16364.850787278088,1.1661152317543704
50,0.1,8,10,190653.01768638488,162806.1165662203,1.1710433349034404
50,0.1,8,50,953185.0884304668,813656.1866891334,1.1714838577078772
50,0.1,16,1,5849.768262712304,5301.0671779704135,1.103507664838152
50,0.1,16,10,58317.68262645015,52616.65128885187,1.1083503263311283
50,0.1,16,50,291508.4131352114,262908.13622789143,1.1087842975027937
50,0.5,1,1,38428.70553761414,30360.85450098852,1.265732014767995
50,0.5,1,10,384251.05537922133,262523.73831112916,1.4636811811807564
50,0.5,1,50,1921239.27688739,1310233.1626964298,1.4663338797909249
50,0.5,2,1,9998.331296954902,8572.570452075506,1.166316608635652
50,0.5,2,10,99947.31297055687,74103.20789788295,1.3487582495522743
50,0.5,2,50,499720.5648468449,369831.21278357203,1.3512125195860227
50,0.5,4,1,2691.7024934661335,2489.920806844931,1.0810393993521774
50,0.5,4,10,26881.02493450505,21501.724003507203,1.2501799823177162
50,0.5,4,50,134389.12467222108,107298.57945591233,1.2524781348800607
50,0.5,8,1,766.5320707481126,758.3221592159529,1.0108264164938132
50,0.5,8,10,7629.320707395164,6527.220508142359,1.168846785224736
50,0.5,8,50,38130.60353680535,32561.22331352322,1.1710433348789162
50,0.5,16,1,237.19073050536457,247.7236074255395,0.9574813356319264
50,0.5,16,10,2335.9073050870434,2111.6708602858334,1.1061891078853348
50,0.5,16,50,11663.536525390022,10523.330257860594,1.1083503263311278
50,1.0,1,1,9608.1763844035,9227.532793747192,1.041250852114472
50,1.0,1,10,96063.76384439786,65780.03013228836,1.4603788361179941
50,1.0,1,50,480310.8192220746,327707.3862276566,1.465669799973337
50,1.0,2,1,2500.582824269581,2606.0124710063465,0.9595436906347373
50,1.0,2,10,24987.82824233196,18568.603643698036,1.3457031407319922
50,1.0,2,50,124931.14121388707,92500.60486527094,1.35059810036758
50,1.0,4,1,673.9256233577471,757.4782701668539,0.8896963119606028
50,1.0,4,10,6721.256233638499,5388.558536015166,1.2473198887450263
50,1.0,4,50,33598.281168306465,26837.77239887571,1.251902753661998
50,1.0,8,1,192.63301768621278,231.24060912388296,0.833041473191299
50,1.0,8,10,1908.330176867227,1636.4850787141002,1.1661152317787917
50,1.0,8,50,9533.650884228638,8144.985779959011,1.1704932509135229
50,1.0,16,1,60.297682627225626,76.06828440845544,0.7926783559814737
50,1.0,16,10,584.9768262663305,530.106717792601,1.1035076648381523
50,1.0,16,50,2916.884131339855,2633.021567195609,1.107808674141087
100,0.1,1,1,1921255.2768796366,1315580.6026433788,1.4603858349836443
100,0.1,1,10,19212372.768937048,13102311.626978599,1.4663345916286554
100,0.1,1,50,96061783.8439478,65487782.845420085,1.466865721667441
100,0.1,2,1,499736.56484850013,371352.07287543925,1.3457217593507933
100,0.1,2,10,4997185.648502155,3698292.1278669517,1.3512144189064808
100,0.1,2,50,24985848.24234282,18484692.372111596,1.3517048452502087
100,0.1,4,1,134405.1246713729,107751.17072059154,1.2473657944738017
100,0.1,4,10,1343871.2467299714,1072965.7945477362,1.2524828410736282
100,0.1,4,50,6719276.233636636,5362808.567172715,1.2529397888202176
100,0.1,8,1,38146.60353744765,32709.701574396502,1.1662168011739635
100,0.1,8,10,381286.03536861733,325592.2331328449,1.1710538414872103
100,0.1,8,50,1906350.1768559779,1627292.3733840236,1.1714859652980747
100,0.1,16,1,11679.536525335088,10582.134355916081,1.1037032920306376
100,0.1,16,10,116615.36525266124,105213.30257797871,1.1083709226429035
100,0.1,16,50,582996.8262719375,525796.2724569404,1.1087884353909745
100,0.5,1,1,76853.41107603823,60717.70900214653,1.2657495208411316
100,0.5,1,10,768498.1107591147,525043.476631457,1.4636847136728555
100,0.5,1,50,3842474.5537398835,2620462.3254181864,1.4663345915979473
100,0.5,2,1,19992.662593847326,17141.140904221746,1.1663554197214068
100,0.5,2,10,199890.62593891245,148202.41579659123,1.3487676625545943
100,0.5,2,50,999437.1297089994,739658.425564242,1.3512144189347772
100,0.5,4,1,5379.40498691171,4975.841613622796,1.0811045456479247
100,0.5,4,10,53758.04986893958,42999.44800681015,1.2502032551772644
100,0.5,4,50,268774.24934266985,214593.15891138697,1.2524828410473987
100,0.5,8,1,1529.0641414891252,1512.6443184535283,1.0108550455882344
100,0.5,8,10,15254.64141484124,13050.441016202913,1.1688985372909375
100,0.5,8,50,76257.20707437725,65118.44662712724,1.1710538414872107
100,0.5,16,1,470.3814610163977,491.4472148436381,0.9571352666350081
100,0.5,16,10,4667.814610091093,4219.341720587774,1.1062897767476496
100,0.5,16,50,23323.073050732197,21042.660515776144,1.1083709226429033
100,1.0,1,1,19214.352768883768,18453.065587674304,1.0412553230026973
100,1.0,1,10,192125.5276863542,131558.06026599093,1.4603858349530603
100,1.0,1,50,960619.6384475296,655412.7724539433,1.4656712209785836
100,1.0,2,1,4999.165648497406,5210.0249420378295,0.9595281604433263
100,1.0,2,10,49973.656485477935,37135.20728801053,1.3457217593507933
100,1.0,2,50,249860.28242441986,184999.20973144268,1.350601890608797
100,1.0,4,1,1345.851246710255,1512.9565403364663,0.8895504998517348
100,1.0,4,10,13440.512467306175,10775.117071968896,1.2473657944999237
100,1.0,4,50,67194.56233637877,53673.54479754641,1.25191214013967
100,1.0,8,1,383.26603536756005,460.48121824784744,0.8323163251389606
100,1.0,8,10,3814.66035371281,3270.9701574807505,1.1662168011495406
100,1.0,8,50,19065.30176847878,16287.971560112408,1.170514185766862
100,1.0,16,1,118.59536525315572,150.13656881669604,0.7899165818685423
100,1.0,16,10,1167.9536525237254,1058.2134356049048,1.103703292007524
100,1.0,16,50,5831.768262718295,5264.043134322823,1.1078496345696274
500,0.1,1,1,9606196.384354593,6577823.013313268,1.4603914342042967
500,0.1,1,10,96061783.8439478,65511478.135431394,1.4663351610745217
